Dealership,Website,City,State,Phone
Toyota of Springfield,toyotaspringfield.com,Springfield,MA,413-555-0123
Ford Lincoln of Boston,bostonfordlincoln.com,Boston,MA,617-555-0124
Chevrolet of Worcester,worcesterchevrolet.com,Worcester,MA,508-555-0125
BMW of Cambridge,cambridgebmw.com,Cambridge,MA,617-555-0126
Honda North,hondanorth.com,Danvers,MA,978-555-0127
Lexus of Watertown,lexusofwatertown.com,Watertown,MA,617-555-0128
Mercedes-Benz of Burlington,mbbburlington.com,Burlington,MA,781-555-0129
Hyundai of Plymouth,plymouthhyundai.com,Plymouth,MA,508-555-0130
Kia of Brockton,brocktonkia.com,Brockton,MA,508-555-0131
Jeep Chrysler Dodge RAM of Lowell,lowellcjd.com,Lowell,MA,978-555-0132
Audi Westwood,audiwestwood.com,Westwood,MA,781-555-0133
Nissan of Marlborough,marlboroughnissan.com,Marlborough,MA,508-555-0134
Mazda Gallery,mazdagallery.com,Norwood,MA,781-555-0135
Subaru of Wakefield,subaruofwakefield.com,Wakefield,MA,781-555-0136
Volvo Cars MetroWest,volvometrowest.com,Framingham,MA,508-555-0137
Jaguar Land Rover Sudbury,jlrsudbury.com,Sudbury,MA,978-555-0138
Tesla Dedham,tesla.com/dedham,Dedham,MA,781-555-0139
Porsche Norwell,porschenorwell.com,Norwell,MA,781-555-0140 
