Dealership,Address,City,State,Zip,Website,url_active,last_checked
BMW OF ANCHORAGE,730 E 5TH AVE,ANCHORAGE,AK,99501,www.bmwofanchorage.com,True,2025-03-10
CHEVROLET BUICK GMC OF FAIRBANKS,3300 S CUSHMAN ST,FAIRBANKS,AK,99701,chevyoffairbanks.com,False,2025-03-10
CHEVROLET OF WASILLA,3700 E PARKS HWY,WASILLA,AK,99654,wasillaChevrolet.com,False,2025-03-10
CONTINENTAL HONDA,5001 OLD SEWARD HWY,ANCHORAGE,AK,99503,continentalautogroup.com,True,2025-03-10
CONTINENTAL MAZDA,4800 OLD SEWARD HWY,ANCHORAGE,AK,99503,continentalautogroup.com,True,2025-03-10
CONTINENTAL NISSAN,5115 OLD SEWARD HWY,ANCHORAGE,AK,99503,continentalautogroup.com,True,2025-03-10
CONTINENTAL SUBARU,4900 OLD SEWARD HWY,ANCHORAGE,AK,99503,www.continental-subaru.com,True,2025-03-10
GENES CHRYSLER,3400 S CUSHMAN ST,FAIRBANKS,AK,99701,www.geneschryslercenter.com,True,2025-03-10
"KENDALL FORD KENAI, LLC",10288 KENAI SPUR HIGHWAY,KENAI,AK,99611,kendallfordkenai.com,False,2025-03-10
KENDALL FORD LINCOLN OF ANCHORAGE,1950 GAMBELL,ANCHORAGE,AK,99501,kendallfordanchorage.com,False,2025-03-10
KENDALL FORD OF WASILLA,2701 E. MOUNTAIN VILLAGE DRIVE,WASILLA,AK,99654,kendallfordwasilla.net,False,2025-03-10
KENDALL HONDA OF FAIRBANKS,1000 CADILLAC CT,FAIRBANKS,AK,99701,kendallhondaoffairbanks.com,False,2025-03-10
KENDALL LEXUS OF ALASKA,731 E 5TH AVE,ANCHORAGE,AK,99501,www.lexusofalaska.com,False,2025-03-10
KENDALL TOYOTA OF ANCHORAGE,"6930 OLD SEWARD HIGHWAY,",ANCHORAGE,AK,99518,kendalltoyotaofanchorage.com,False,2025-03-10
KENDALL TOYOTA OF FAIRBANKS,"1000 CADILLAC COURT,",FAIRBANKS,AK,99701,kendalltoyotaoffairbanks.com,False,2025-03-10
KODIAK MOTORS INC,201 CENTER STREET,KODIAK,AK,99615,https://www.ford.com/dealerships/dealer-details/ak/kodiak/kodiak-motors-inc/#,True,2025-03-10
LITHIA CHRYSLER JEEP DODGE OF ANCHORAGE,9600 OLD SEWARD HIGHWAY,ANCHORAGE,AK,99515,lithiachrysleranchorage.com,False,2025-03-10
LITHIA CHRYSLER JEEP DODGE OF ANCHORAGE,9600 OLD SEWARD HWY,ANCHORAGE,AK,99515,www.lithiadodgeofsouthanchorage.com,False,2025-03-10
LITHIA CHRYSLER JEEP DODGE OF ANCHORAGE,9601 OLD SEWARD HWY,ANCHORAGE,AK,99515,www.lithiadodgeofsouthanchorage.com,False,2025-03-10
LITHIA CHRYSLER JEEP DODGE OF ANCHORAGE,9602 OLD SEWARD HWY,ANCHORAGE,AK,99515,www.lithiadodgeofsouthanchorage.com,False,2025-03-10
LITHIA CHRYSLER JEEP DODGE OF ANCHORAGE,9605 OLD SEWARD HWY,ANCHORAGE,AK,99515,www.lithiadodgeofsouthanchorage.com,False,2025-03-10
LITHIA CHRYSLER JEEP DODGE OF ANCHORAGE,9606 OLD SEWARD HWY,ANCHORAGE,AK,99515,www.lithiadodgeofsouthanchorage.com,False,2025-03-10
LITHIA CHRYSLER JEEP DODGE OF ANCHORAGE,9608 OLD SEWARD HWY,ANCHORAGE,AK,99515,www.lithiadodgeofsouthanchorage.com,False,2025-03-10
LITHIA HYUNDAI OF ANCHORAGE,5400 OLD SEWARD HWY,ANCHORAGE,AK,99518,www.lithiahyundaianchorage.com/,True,2025-03-10
LITHIA KIA OF ANCHORAGE,4434 OLD SEWARD HWY,ANCHORAGE,AK,99503,www.lithiakiaanchorage.com,True,2025-03-10
LITHIA KIA OF ANCHORAGE,4436 OLD SEWARD HWY,ANCHORAGE,AK,99503,www.lithiakiaanchorage.com,True,2025-03-10
MENDENHALL SUBARU,8725 MALLARD ST,JUNEAU,AK,99801,www.mendenhall.subaru.com/index.htm,False,2025-03-10
MENDENHALL TOYOTA,"8602 TEAL STREET,",JUNEAU,AK,99801,mendenhalltoyota.com,False,2025-03-10
MERCEDES - BENZ OF ANCHORAGE,1000 E 6TH AVE,ANCHORAGE,AK,99501,mercedesbenzofanchorage.com/,False,2025-03-10
MIKE HATCH SALES,4755 N DOUGLAS HWY,JUNEAU,AK,99801,alaskajeepdealer.com/,False,2025-03-10
MORRISON AUTO GROUP,935 GAMBELL ST,ANCHORAGE,AK,99501,www.morrisonautogroup.com,True,2025-03-10
PORSCHE OF ANCHORAGE,935 GAMBELL ST,ANCHORAGE,AK,99501,porscheofanchorage.com,False,2025-03-10
SEEKINS FORD LINCOLN,1625 SEEKINS FORD DRIVE,FAIRBANKS,AK,99701,seekins.com,False,2025-03-10
STANLEY CHRYSLER,43965 STERLING HWY,SOLDOTNA,AK,99669,www.stanleykenaicjd.com,False,2025-03-10
BARKLEY BUICK GMC CADILLAC INC,3575 SKYLAND BLVD E,TUSCALOOSA,AL,35405,barkleygmc.com,True,2025-03-10
"BARKLEY BUICK GMC CADILLAC, INC",3575 SKYLAND BLVD E,TUSCALOOSA,AL,35405,barkleygmc.com,True,2025-03-10
BARKLEY CADILLAC,3575 SKYLAND BLVD E,TUSCALOOSA,AL,35405,barkleycadillac.com,True,2025-03-10
"BAUGH FORD, LLC",1670 7TH STREET NORTH,CLANTON,AL,35045,baughford.net,False,2025-03-10
"BAY CHEVROLET, INC.",2900 GOVERNMENT BLVD,MOBILE,AL,36606,baychevy.com,False,2025-03-10
BENCHMARK CHRYSLER DODGE JEEP RAM,1313 GRANTS MILL WAY,BIRMINGHAM,AL,35210,www.benchmarkcjd.com,False,2025-03-10
BENTLEY BUICK GMC,2120 DRAKE AVE SW,HUNTSVILLE,AL,35805,bentleygmc.com,True,2025-03-10
BENTLEY CADILLAC,2120 DRAKE AVE SW,HUNTSVILLE,AL,35805,bentleycadillac.com,True,2025-03-10
BENTLEY CADILLAC OF FLORENCE,1950 FLORENCE BLVD,FLORENCE,AL,35630,bentleycadillacflorence.com,True,2025-03-10
BENTLEY CHEVROLET,1950 FLORENCE BLVD,FLORENCE,AL,35630,bentleyChevrolet.com,True,2025-03-10
BENTLEY HYUNDAI,3805 UNIVERSITY DR NW,HUNTSVILLE,AL,35816,www.bentleyhyundai.com,True,2025-03-10
BENTLEY SUZUKI,3815 UNIVERSITY DR NW,HUNTSVILLE,AL,35816,bentleysuzuki.com,False,2025-03-10
BENTON NISSAN,1834 US HIGHWAY 78 E,OXFORD,AL,36203,www.bentonnissan.com,True,2025-03-10
BICE MOTORS,2133 CHEROKEE RD,ALEXANDER CITY,AL,35010,bicemotors.com,True,2025-03-10
BILL JACKSON CADILLAC,152 US 231 N,TROY,AL,36081,billjacksoncadillac.com,False,2025-03-10
BILL JACKSON CHEVROLET-CADILLAC-BUICK-GMC INC,152 US 231 N,TROY,AL,36081,billjacksonccbg.com,False,2025-03-10
"BILL JACKSON CHEVROLET-CADILLAC-BUICK-GMC, INC",152 US 231 N,TROY,AL,36081,billjacksonccbg.com,False,2025-03-10
BILL PENNEY,4808 UNIVERSITY DR NW,HUNTSVILLE,AL,35816,billpenneymitsubishi.com,True,2025-03-10
BILL PENNEY TOYOTA,"4808 UNIVERSITY DR., N.W.,",HUNTSVILLE,AL,35816,billpenneytoyota.com,True,2025-03-10
BILL SMITH BUICK-GMC INC,1940 SECOND AVE NW,CULLMAN,AL,35055,billsmithbuickgmc.com,True,2025-03-10
