Dealership,Address,City,State,Zip,Website,url_active,last_checked
BMW OF ANCHORAGE,730 E 5TH AVE,ANCHORAGE,AK,99501,www.bmwofanchorage.com,True,2025-03-10
CHEVROLET BUICK GMC OF FAIRBANKS,3300 S CUSHMAN ST,FAIRBANKS,AK,99701,chevyoffairbanks.com,False,2025-03-10
CHEVROLET OF WASILLA,3700 E PARKS HWY,WASILLA,AK,99654,wasillaChevrolet.com,False,2025-03-10
CONTINENTAL HONDA,5001 OLD SEWARD HWY,ANCHORAGE,AK,99503,continentalautogroup.com,True,2025-03-10
CONTINENTAL MAZDA,4800 OLD SEWARD HWY,ANCHORAGE,AK,99503,continentalautogroup.com,True,2025-03-10
CONTINENTAL NISSAN,5115 OLD SEWARD HWY,ANCHORAGE,AK,99503,continentalautogroup.com,True,2025-03-10
CONTINENTAL SUBARU,4900 OLD SEWARD HWY,ANCHORAGE,AK,99503,www.continental-subaru.com,True,2025-03-10
GENES CHRYSLER,3400 S CUSHMAN ST,FAIRBANKS,AK,99701,www.geneschryslercenter.com,True,2025-03-10
"KENDALL FORD KENAI, LLC",10288 KENAI SPUR HIGHWAY,KENAI,AK,99611,kendallfordkenai.com,False,2025-03-10
KENDALL FORD LINCOLN OF ANCHORAGE,1950 GAMBELL,ANCHORAGE,AK,99501,kendallfordanchorage.com,False,2025-03-10
