2025-03-13 20:58:41,835 | INFO | NONE | 92149 | 8264403008 | root | Log synchronization initialized: PID=92149, Host=Joshs-MacBook-Pro.local
2025-03-13 20:58:41,877 | INFO | NONE | 92149 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-13 20:58:50,256 | INFO | 92181 | 8264403008 | root | Log synchronization initialized: PID=92181, Host=Joshs-MacBook-Pro.local
2025-03-13 20:58:50,256 | INFO | 92181 | 8264403008 | database | Initializing database connection to sqlite
2025-03-13 20:58:50,262 | INFO | 92181 | 8264403008 | database | Database manager initialized
2025-03-13 20:58:50,262 | INFO | 92181 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 20:58:50,263 | INFO | 92181 | 8264403008 | __main__ | Connected to database: sqlite:///dealership_verification.db
2025-03-13 20:58:50,263 | INFO | 92181 | 8264403008 | __main__ | Creating database tables...
2025-03-13 20:58:50,263 | INFO | 92181 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 20:58:50,264 | INFO | 92181 | 8264403008 | __main__ | Database tables created successfully
2025-03-13 20:58:50,264 | INFO | 92181 | 8264403008 | __main__ | Database initialization completed successfully
2025-03-13 20:58:50,264 | INFO | 92181 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-13 20:58:55,704 | INFO | 92212 | 8264403008 | root | Log synchronization initialized: PID=92212, Host=Joshs-MacBook-Pro.local
2025-03-13 20:58:55,704 | INFO | 92212 | 8264403008 | database | Initializing database connection to sqlite
2025-03-13 20:58:55,710 | INFO | 92212 | 8264403008 | database | Database manager initialized
2025-03-13 20:58:55,712 | INFO | 92212 | 8264403008 | __main__ | Testing database connection...
2025-03-13 20:58:55,712 | INFO | 92212 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 20:58:55,713 | INFO | 92212 | 8264403008 | __main__ | Successfully connected to database: sqlite:///dealership_verification.db
2025-03-13 20:58:55,713 | INFO | 92212 | 8264403008 | __main__ | Testing CRUD operations...
2025-03-13 20:58:55,713 | INFO | 92212 | 8264403008 | __main__ | Testing create operation...
