2025-03-13 20:58:55,718 | ERROR | 92212 | 8264403008 | __main__ | Error during CRUD tests: Instance <Dealership at 0x106624f90> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2025-03-13 20:58:55,718 | ERROR | 92212 | 8264403008 | __main__ | CRUD tests failed
2025-03-13 20:59:18,809 | ERROR | 92245 | 8264403008 | __main__ | Error during CRUD tests: Instance <Dealership at 0x106baa390> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2025-03-13 20:59:18,809 | ERROR | 92245 | 8264403008 | __main__ | CRUD tests failed
2025-03-13 20:59:34,863 | ERROR | 92276 | 8264403008 | __main__ | Error during CRUD tests: 'dict' object has no attribute 'is_active'
2025-03-13 20:59:34,863 | ERROR | 92276 | 8264403008 | __main__ | CRUD tests failed
2025-03-13 20:59:44,253 | ERROR | 92307 | 8264403008 | __main__ | Error during CRUD tests: Instance <VerificationJob at 0x10317a690> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2025-03-13 20:59:44,253 | ERROR | 92307 | 8264403008 | __main__ | CRUD tests failed
2025-03-13 21:00:08,850 | ERROR | 92338 | 8264403008 | database | Error in database session: name 'ErrorLog' is not defined
2025-03-13 21:00:08,850 | ERROR | 92338 | 8264403008 | __main__ | Error during CRUD tests: name 'ErrorLog' is not defined
2025-03-13 21:00:08,850 | ERROR | 92338 | 8264403008 | __main__ | CRUD tests failed
2025-03-16 21:33:26,675 | ERROR | 42677 | 8526678080 | verification_test | Error during extraction test: 'ContactExtractor' object has no attribute 'extraction_id'
2025-03-16 21:33:41,797 | ERROR | 42874 | 8526678080 | verification_test | Error during extraction test: 'ContactExtractor' object has no attribute 'extraction_id'
2025-03-16 21:34:20,719 | ERROR | 43293 | 8526678080 | verification_test | Error during extraction test: 'ContactExtractor' object has no attribute 'extraction_id'
2025-03-16 21:34:45,681 | ERROR | 43583 | 8526678080 | contact_extractor | [253cb936-a38d-496b-af7c-9034816338df] Failed to initialize Chrome WebDriver: [Errno 8] Exec format error: '/Users/copp1723/.wdm/drivers/chromedriver/mac64/134.0.6998.88/chromedriver-mac-arm64/THIRD_PARTY_NOTICES.chromedriver'
2025-03-16 21:34:45,681 | ERROR | 43583 | 8526678080 | verification_test | Error during extraction test: [Errno 8] Exec format error: '/Users/copp1723/.wdm/drivers/chromedriver/mac64/134.0.6998.88/chromedriver-mac-arm64/THIRD_PARTY_NOTICES.chromedriver'
